categories,type,short_name,full_name,full_name2
reference,reference,re1_c2p1_tn,Reference,Reference
core scenario,cost projections,re1_c3p1_tn,Static RE cost,Static RE cost
core scenario,cost projections,re1_c1p1_tn,Low RE cost,Low RE cost
core scenario,cost projections,re1_c2p4_tn,High NG price,High NG price
core scenario,transmission,re1_c2p1_t2,Existing Tx,Existing Tx
core scenario,capacity retirement,re1_c2p1_ret_hydro_60y_tn,Hydro ret. 60y,Hydro ret. <br> 60y
core scenario,decarbonization policy,re1_c2p1_co2_cut90p_tn,Emission cut 90%,Emission <br> cut 90%
core scenario,decarbonization policy,re1_c2p1_vre80_tn,VRE gen. 80%,VRE gen. <br> 80%
sensitivity,transmission,re1_c2p1_t1,Exist. trade,Exist. trade
sensitivity,transmission,re1_c1p1_t2,Low RE cost + Exist. Tx,Low RE cost + Exist. Tx
sensitivity,transmission,re1_c3p1_t2,Static RE cost + Exist. Tx,Static RE cost + Exist. Tx
sensitivity,transmission,re1_c2p1_ret_hydro_60y_t2,Hydro ret. 60y + Exist Tx,Hydro ret. 60y + Exist Tx
sensitivity,capacity retirement,re1_c2p1_ret_coal_50y_tn,Coal ret. 50y,Coal ret. 50y
sensitivity,transmission,re1_c2p1_ret_coal_50y_t2,Coal ret. 50y + Exist Tx,Coal ret. 50y + Exist Tx
sensitivity,decarbonization policy,re1_c2p1_clean95_tn,Clean generation 95%,Clean generation 95%
sensitivity,cost projections,re1_c2p2_tn,Low NG price,Low NG price
sensitivity,cost projections,re1_c2p3_tn,Mid NG price,Mid NG price
op char,wind,re2_c2p1_tn,Vestas V164 7000,vestas7
op char,wind,re3_c2p1_tn,Vestas V90 3000,vestas3
op char,wind,re4_c2p1_tn,Siemens SWT 3.6 107,siemens36
op char,wind,re5_c2p1_tn,Siemens SWT 2.3 93,siemens23
op char,wind,re6_c2p1_tn,GE 2.5xl,ge25
op char,wind,re7_c2p1_tn,GE 1.5sle,ge15
op char,wind,re8_c2p1_tn,Gamesa G80 2000,gamesa2
op char,wind,re9_c2p1_tn,Enercon E126 7000,enercon7
op char,wind,re10_c2p1_tn,Enercon E101 3000,enercon3
reference,reference,prm15_re1_c2p1_tn,Reference,Reference
core scenario,cost projections,prm15_re1_c3p1_tn,Static RE cost,Static RE cost
core scenario,cost projections,prm15_re1_c1p1_tn,Low RE cost,Low RE cost
core scenario,cost projections,prm15_re1_c2p4_tn,High NG price,High NG price
core scenario,transmission,prm15_re1_c2p1_t2,Existing Tx,Existing Tx
core scenario,capacity retirement,prm15_re1_c2p1_ret_hydro_60y_tn,Hydro ret. 60y,Hydro ret. <br> 60y
core scenario,decarbonization policy,prm15_re1_c2p1_co2_cut90p_tn,Emission cut 90%,Emission <br> cut 90%
core scenario,decarbonization policy,prm15_re1_c2p1_vre80_tn,VRE gen. 80%,VRE gen. <br> 80%
sensitivity,transmission,prm15_re1_c2p1_t1,Exist. trade,Exist. trade
sensitivity,transmission,prm15_re1_c1p1_t2,Low RE cost + Exist. Tx,Low RE cost + Exist. Tx
sensitivity,transmission,prm15_re1_c3p1_t2,Static RE cost + Exist. Tx,Static RE cost + Exist. Tx
sensitivity,transmission,prm15_re1_c2p1_ret_hydro_60y_t2,Hydro ret. 60y + Exist Tx,Hydro ret. 60y + Exist Tx
sensitivity,capacity retirement,prm15_re1_c2p1_ret_coal_50y_tn,Coal ret. 50y,Coal ret. 50y
sensitivity,transmission,prm15_re1_c2p1_ret_coal_50y_t2,Coal ret. 50y + Exist Tx,Coal ret. 50y + Exist Tx
sensitivity,decarbonization policy,prm15_re1_c2p1_clean95_tn,Clean generation 95%,Clean generation 95%
sensitivity,cost projections,prm15_re1_c2p2_tn,Low NG price,Low NG price
sensitivity,cost projections,prm15_re1_c2p3_tn,Mid NG price,Mid NG price
op char,wind,prm15_re2_c2p1_tn,Vestas V164 7000,vestas7
op char,wind,prm15_re3_c2p1_tn,Vestas V90 3000,vestas3
op char,wind,prm15_re4_c2p1_tn,Siemens SWT 3.6 107,siemens36
op char,wind,prm15_re5_c2p1_tn,Siemens SWT 2.3 93,siemens23
op char,wind,prm15_re6_c2p1_tn,GE 2.5xl,ge25
op char,wind,prm15_re7_c2p1_tn,GE 1.5sle,ge15
op char,wind,prm15_re8_c2p1_tn,Gamesa G80 2000,gamesa2
op char,wind,prm15_re9_c2p1_tn,Enercon E126 7000,enercon7
op char,wind,prm15_re10_c2p1_tn,Enercon E101 3000,enercon3
op char,re_cost,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis
op char,re_cost,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis
op char,re_cost,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis
op char,re_cost,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis
op char,re_cost,prm15_wcost_re5_c2p1_tn,Siemens SWT 2.3 93 Single-Axis,siemens23_1axis
op char,re_cost,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis
op char,re_cost,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis
op char,re_cost,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis
op char,re_cost,prm15_wcost_re9_c2p1_tn,Enercon E126 7000 Single-Axis,enercon7_1axis
op char,re_cost,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis
op char,re_cost,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed
op char,re_cost,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed
op char,re_cost,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed
op char,re_cost,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed
op char,re_cost,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed
op char,re_cost,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed
op char,re_cost,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed
op char,re_cost,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed
op char,re_cost,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed
op char,re_cost,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed
op char,decarbonization policy,prm15_wcost_re1_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Single-Axis,cut90_vestas2_1axis
op char,decarbonization policy,prm15_wcost_re2_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Single-Axis,cut90_vestas7_1axis
op char,decarbonization policy,prm15_wcost_re3_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Single-Axis,cut90_vestas3_1axis
op char,decarbonization policy,prm15_wcost_re4_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,cut90_siemens36_1axis
op char,decarbonization policy,prm15_wcost_re5_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Single-Axis,cut90_siemens23_1axis
op char,decarbonization policy,prm15_wcost_re6_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Single-Axis,cut90_ge25_1axis
op char,decarbonization policy,prm15_wcost_re7_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Single-Axis,cut90_ge15_1axis
op char,decarbonization policy,prm15_wcost_re8_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Single-Axis,cut90_gamesa2_1axis
op char,decarbonization policy,prm15_wcost_re9_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Single-Axis,cut90_enercon7_1axis
op char,decarbonization policy,prm15_wcost_re10_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Single-Axis,cut90_enercon3_1axis
op char,decarbonization policy,prm15_wcost_re11_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Fixed,cut90_vestas2_fixed
op char,decarbonization policy,prm15_wcost_re12_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Fixed,cut90_vestas7_fixed
op char,decarbonization policy,prm15_wcost_re13_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Fixed,cut90_vestas3_fixed
op char,decarbonization policy,prm15_wcost_re14_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Fixed,cut90_siemens36_fixed
op char,decarbonization policy,prm15_wcost_re15_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Fixed,cut90_siemens23_fixed
op char,decarbonization policy,prm15_wcost_re16_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Fixed,cut90_ge25_fixed
op char,decarbonization policy,prm15_wcost_re17_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Fixed,cut90_ge15_fixed
op char,decarbonization policy,prm15_wcost_re18_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Fixed,cut90_gamesa2_fixed
op char,decarbonization policy,prm15_wcost_re19_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Fixed,cut90_enercon7_fixed
op char,decarbonization policy,prm15_wcost_re20_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Fixed,cut90_enercon3_fixed
op char trd,re_cost,prm15_wcost_re1_c2p1_t1,Trade Vestas V90 2000 Single-Axis,trd_vestas2_1axis
op char trd,re_cost,prm15_wcost_re2_c2p1_t1,Trade Vestas V164 7000 Single-Axis,trd_vestas7_1axis
op char trd,re_cost,prm15_wcost_re3_c2p1_t1,Trade Vestas V90 3000 Single-Axis,trd_vestas3_1axis
op char trd,re_cost,prm15_wcost_re4_c2p1_t1,Trade Siemens SWT 3.6 107 Single-Axis,trd_siemens36_1axis
op char trd,re_cost,prm15_wcost_re5_c2p1_t1,Trade Siemens SWT 2.3 93 Single-Axis,trd_siemens23_1axis
op char trd,re_cost,prm15_wcost_re6_c2p1_t1,Trade GE 2.5xl Single-Axis,trd_ge25_1axis
op char trd,re_cost,prm15_wcost_re7_c2p1_t1,Trade GE 1.5sle Single-Axis,trd_ge15_1axis
op char trd,re_cost,prm15_wcost_re8_c2p1_t1,Trade Gamesa G80 2000 Single-Axis,trd_gamesa2_1axis
op char trd,re_cost,prm15_wcost_re9_c2p1_t1,Trade Enercon E126 7000 Single-Axis,trd_enercon7_1axis
op char trd,re_cost,prm15_wcost_re10_c2p1_t1,Trade Enercon E101 3000 Single-Axis,trd_enercon3_1axis
op char trd,re_cost,prm15_wcost_re11_c2p1_t1,Trade Vestas V90 2000 Fixed,trd_vestas2_fixed
op char trd,re_cost,prm15_wcost_re12_c2p1_t1,Trade Vestas V164 7000 Fixed,trd_vestas7_fixed
op char trd,re_cost,prm15_wcost_re13_c2p1_t1,Trade Vestas V90 3000 Fixed,trd_vestas3_fixed
op char trd,re_cost,prm15_wcost_re14_c2p1_t1,Trade Siemens SWT 3.6 107 Fixed,trd_siemens36_fixed
op char trd,re_cost,prm15_wcost_re15_c2p1_t1,Trade Siemens SWT 2.3 93 Fixed,trd_siemens23_fixed
op char trd,re_cost,prm15_wcost_re16_c2p1_t1,Trade GE 2.5xl Fixed,trd_ge25_fixed
op char trd,re_cost,prm15_wcost_re17_c2p1_t1,Trade GE 1.5sle Fixed,trd_ge15_fixed
op char trd,re_cost,prm15_wcost_re18_c2p1_t1,Trade Gamesa G80 2000 Fixed,trd_gamesa2_fixed
op char trd,re_cost,prm15_wcost_re19_c2p1_t1,Trade Enercon E126 7000 Fixed,trd_enercon7_fixed
op char trd,re_cost,prm15_wcost_re20_c2p1_t1,Trade Enercon E101 3000 Fixed,trd_enercon3_fixed
op char trd,decarbonization policy,prm15_wcost_re1_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V90 2000 Single-Axis,trd_cut90_vestas2_1axis
op char trd,decarbonization policy,prm15_wcost_re2_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V164 7000 Single-Axis,trd_cut90_vestas7_1axis
op char trd,decarbonization policy,prm15_wcost_re3_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V90 3000 Single-Axis,trd_cut90_vestas3_1axis
op char trd,decarbonization policy,prm15_wcost_re4_c2p1_co2_cut90p_t1,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,trd_cut90_siemens36_1axis
op char trd,decarbonization policy,prm15_wcost_re5_c2p1_co2_cut90p_t1,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,trd_cut90_siemens23_1axis
op char trd,decarbonization policy,prm15_wcost_re6_c2p1_co2_cut90p_t1,Trade Emission cut 90% GE 2.5xl Single-Axis,trd_cut90_ge25_1axis
op char trd,decarbonization policy,prm15_wcost_re7_c2p1_co2_cut90p_t1,Trade Emission cut 90% GE 1.5sle Single-Axis,trd_cut90_ge15_1axis
op char trd,decarbonization policy,prm15_wcost_re8_c2p1_co2_cut90p_t1,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,trd_cut90_gamesa2_1axis
op char trd,decarbonization policy,prm15_wcost_re9_c2p1_co2_cut90p_t1,Trade Emission cut 90% Enercon E126 7000 Single-Axis,trd_cut90_enercon7_1axis
op char trd,decarbonization policy,prm15_wcost_re10_c2p1_co2_cut90p_t1,Trade Emission cut 90% Enercon E101 3000 Single-Axis,trd_cut90_enercon3_1axis
op char trd,decarbonization policy,prm15_wcost_re11_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V90 2000 Fixed,trd_cut90_vestas2_fixed
op char trd,decarbonization policy,prm15_wcost_re12_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V164 7000 Fixed,trd_cut90_vestas7_fixed
op char trd,decarbonization policy,prm15_wcost_re13_c2p1_co2_cut90p_t1,Trade Emission cut 90% Vestas V90 3000 Fixed,trd_cut90_vestas3_fixed
op char trd,decarbonization policy,prm15_wcost_re14_c2p1_co2_cut90p_t1,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,trd_cut90_siemens36_fixed
op char trd,decarbonization policy,prm15_wcost_re15_c2p1_co2_cut90p_t1,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,trd_cut90_siemens23_fixed
op char trd,decarbonization policy,prm15_wcost_re16_c2p1_co2_cut90p_t1,Trade Emission cut 90% GE 2.5xl Fixed,trd_cut90_ge25_fixed
op char trd,decarbonization policy,prm15_wcost_re17_c2p1_co2_cut90p_t1,Trade Emission cut 90% GE 1.5sle Fixed,trd_cut90_ge15_fixed
op char trd,decarbonization policy,prm15_wcost_re18_c2p1_co2_cut90p_t1,Trade Emission cut 90% Gamesa G80 2000 Fixed,trd_cut90_gamesa2_fixed
op char trd,decarbonization policy,prm15_wcost_re19_c2p1_co2_cut90p_t1,Trade Emission cut 90% Enercon E126 7000 Fixed,trd_cut90_enercon7_fixed
op char trd,decarbonization policy,prm15_wcost_re20_c2p1_co2_cut90p_t1,Trade Emission cut 90% Enercon E101 3000 Fixed,trd_cut90_enercon3_fixed