period,load_zone,Battery,Biomass,Coal,Curtailment,Diesel,Exports,Gas,Geothermal,Hydro,Imports,Nuclear,Solar,Trans_loss,Wind,scs
2020,Argentina,0.0,0.17101563749999937,0.0,3.6567797678799255e-15,0.0,-1.4315134068334312,73.7046545039224,0.0,41.046421158,0.5578180153484814,15.38433,1.0480361859051723,-0.2422696542734486,6.244675862862069,Trade Vestas V90 2000 Single-Axis
2020,Brazil,0.0,78.50055896843178,16.127423999999998,2.18448928858639,11.409244984999992,-0.23168774013448154,50.81809272099997,0.0,450.1121774034136,1.5568001040204806,17.44434,4.951314463706896,-0.18988737849841922,5.771182727206897,Trade Vestas V90 2000 Single-Axis
2020,Chile,0.0,2.593403999999996,3.2223753364142858,4.0427217129490597e-16,0.0,-0.0010450440000000002,37.72110086536158,0.35064,21.522740232,0.005936271,0.0,7.77790864163793,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2020,Paraguay,0.0,0.0,0.0,49.10986188724996,0.0,-0.008246662500000002,0.0,0.0,23.667944692749998,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2020,Uruguay,0.0,1.8417264187368214,0.0,4.633251005081718e-16,0.0,-0.7349243745544805,0.12783455599999988,0.0,5.71909914,0.28686283765343107,0.0,0.6111554979310344,0.0,5.875972191655173,Trade Vestas V90 2000 Single-Axis
2025,Argentina,0.0,0.24874154999999298,1.804169072438958,4.5800735426482215e-15,0.0,-1.0756520366618405,87.2169770480972,0.0,47.849307558,0.9569436116785754,15.38433,3.2581621386096393,-0.19741376927500218,6.244675862862069,Trade Vestas V90 2000 Single-Axis
2025,Brazil,0.0,57.10421658331319,11.77919680752466,6.920948851031476,0.0,-1.680650364532512,57.19627434286871,0.0,515.4353226577572,0.5624708382799999,17.44434,24.356709080643103,-0.296903677477066,68.83903115490264,Trade Vestas V90 2000 Single-Axis
2025,Chile,0.0,2.9401233750526257,4.81633478486907,1.498369872621197e-15,0.0,-0.001574265,37.42211716803321,0.35064,23.073674232000002,0.004056723,0.0,15.85118871345888,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2025,Paraguay,-0.20208425999999974,0.0,0.0,44.55407170702399,0.0,-0.00784233,0.0,0.0,28.223734872976,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2025,Uruguay,0.0,2.536040426148399,0.0,0.004519380000000824,0.0,-0.29777877240806616,0.269700922,0.0,5.71909914,1.540026595643843,0.0,0.6111554979310344,0.0,5.871452811655172,Trade Vestas V90 2000 Single-Axis
2030,Argentina,0.0,0.2519189999999847,4.643269502096619,2.8012927533183076e-15,0.0,-1.4686585541453796,92.48218507060731,0.0,47.849307558,0.6319834502431222,15.38433,17.75526874092949,-0.22027684711791723,14.293728137647907,Trade Vestas V90 2000 Single-Axis
2030,Brazil,0.0,64.68666619964222,10.863778973738384,5.759687015351094,0.0,-2.5651162250537562,58.51195570619349,0.0,521.6671629736383,0.5175546684334585,17.44434,84.07587656049293,-0.3995580173926187,103.36674622457414,Trade Vestas V90 2000 Single-Axis
2030,Chile,0.0,2.58484215113087,3.24707601067565,1.4171000067841889e-15,0.0,-0.002096787,51.97357995888942,0.35064,23.073674232,0.00320595,0.0,16.019029918717848,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2030,Paraguay,0.0,0.0,0.0,37.01267850499998,0.0,-0.00780174,0.0,0.0,35.765128075,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2030,Uruguay,0.0,2.5646624999999985,0.0,0.00011713328526806264,0.0,-0.0685480579719837,0.36549949955577765,0.0,5.71909914,2.9594772954945388,0.0,1.8873376107386743,0.0,5.875972191655173,Trade Vestas V90 2000 Single-Axis
2035,Argentina,0.0,0.17221365,1.8849342392468083,5.08718045466594e-15,0.0,-1.912400080347904,130.07347580287941,0.0,49.433150688,0.208258112,15.38433,17.75526874092949,-0.21758332435573663,14.293728137647907,Trade Vestas V90 2000 Single-Axis
2035,Brazil,0.0,75.65837177920876,10.370176324177939,4.968512188556045,0.0,-1.663800823524548,109.83711911064667,0.0,561.3469734880825,0.8567449543849601,17.44434,94.23623810388138,-0.3203213618949737,113.09830585994396,Trade Vestas V90 2000 Single-Axis
2035,Chile,0.0,2.096068558076401,0.03714576588910462,1.389797402162607e-15,0.0,-0.0027686010000000003,68.90288515773044,0.35064,24.376078632000002,0.001987689,0.0,16.019029918717848,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2035,Paraguay,0.0,0.0,0.0,27.394047829999984,0.0,-0.00780174,0.0,0.0,45.38375875,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2035,Uruguay,0.0,2.4997998462828552,0.0,0.0195740518720188,0.0,-0.09107020970344512,0.3067567371998082,0.0,5.71909914,2.610850699190937,0.0,4.245451285986452,0.0,7.726258166136597,Trade Vestas V90 2000 Single-Axis
2040,Argentina,0.0,0.09631709999999999,1.3458451305558972,4.2953878232054875e-15,0.0,-2.0587765488276144,170.12675223323555,0.0,52.15642341,0.20831536899999997,15.38433,17.75526874092949,-0.2599496702816483,14.293728137647907,Trade Vestas V90 2000 Single-Axis
2040,Brazil,0.0,77.12815139999996,7.691625679463917,3.760388026887544,0.0,-1.4877328749473555,161.03621876921605,0.0,608.3852505623049,1.0219681745449127,17.44434,127.2291070611153,-0.2945476476318926,123.02826673861551,Trade Vestas V90 2000 Single-Axis
2040,Chile,0.0,1.2905410987577586,0.0,3.7924798995669916e-15,0.0,-0.001468038,86.24900733493818,0.35064,24.376078632,0.002048937,0.0,16.019029918717848,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2040,Paraguay,0.0,0.0,0.0,15.187947304999982,0.0,-0.00780174,0.0,0.0,57.589859275,0.0,0.0,0.0,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2040,Uruguay,0.0,2.2994688188142596,0.0,0.21959458524184317,0.0,-0.0922468518538661,0.049552564194542355,0.0,5.719099139999999,2.4156935730839235,0.0,4.800609729232744,0.0,12.232746614587315,Trade Vestas V90 2000 Single-Axis
2045,Argentina,0.0,0.0711045,0.0,9.808467260619124e-15,0.0,-2.087068776558361,221.11111165333938,0.0,52.305611825999996,0.20822308420129085,15.38433,17.75526874092949,-0.2639362998326713,14.293728137647907,Trade Vestas V90 2000 Single-Axis
2045,Brazil,0.0,71.22037589999995,7.661440140295741,-1.3765071166939154e-15,0.0,-1.1363231154345945,220.85095903088464,0.0,617.49914283,1.1533446382530173,17.44434,184.6701011831421,-0.2596700849449705,162.4527821692069,Trade Vestas V90 2000 Single-Axis
2045,Chile,0.0,0.7045959920667986,0.0,3.84446675882888e-15,0.0,-0.0014431560000000001,105.58226286262914,0.35064,24.376078632,0.001424016,0.0,16.019029918717848,0.0,9.729895828586207,Trade Vestas V90 2000 Single-Axis
2045,Paraguay,-0.47548802630360776,0.07238797499999956,0.0,4.765715600193427,0.010167182957898396,-0.004208365,3.250930169693966,0.0,68.46572655274585,0.0031866449999999997,0.0,1.346044935442521,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2045,Uruguay,0.0,2.051278119671465,0.0,0.22302878934740356,0.0,-0.27180512753948144,0.05783055877180418,0.0,5.71909914,2.134670157078129,0.0,5.269455190985049,0.0,17.73687497490271,Trade Vestas V90 2000 Single-Axis
2050,Argentina,0.0,0.0701523,0.0,6.789313999888691e-15,0.0,-1.7633843774545048,245.12104771294477,0.0,51.877710377999996,0.19137276353797517,15.38433,16.70723255502432,-0.2352143907508144,50.35534498787069,Trade Vestas V90 2000 Single-Axis
2050,Brazil,0.0,71.68432477898837,3.581713078064072,1.5070566547741718e-14,0.0,-0.8962964062180374,212.9570581373298,0.0,617.57858373,1.35981337857097,17.44434,247.27384159798103,-0.2622585665745332,294.1252037252328,Trade Vestas V90 2000 Single-Axis
2050,Chile,0.0,1.3563536461295358,0.0,2.2953940970182885e-15,0.0,-0.0009330750000000001,129.68143029366757,0.35064,24.376078632000002,0.002260434,0.0,22.289754969202892,0.0,0.0,Trade Vestas V90 2000 Single-Axis
2050,Paraguay,-1.3607936404124121,0.09672299999999738,0.0,2.3354778312842717,0.0174375,-0.00229086,7.3928489756670155,0.0,72.25930124537356,0.00450874,0.0,7.214126284607915,0.0,5.953745307518856,Trade Vestas V90 2000 Single-Axis
2050,Uruguay,-0.0446258679802563,1.778067185339897,0.0,0.6780584293872927,0.0,-0.5974435755994746,0.08612130008519314,0.0,5.71909914,1.7023929781630713,0.0,6.806022128641059,0.0,23.51102782914462,Trade Vestas V90 2000 Single-Axis
