scs_id_x,costs_per_mwh_x,MtCO2_x,scs_id_y,costs_per_mwh_y,MtCO2_y,load_zone,Solar PV,cost_diff,emis_diff
prm15_wcost_re1_c2p1_co2_cut90p_t1,41.86493037225621,10.183971,prm15_wcost_re1_c2p1_t1,35.78838416199559,258.3125540794984,Region Wide,Single Axis,6.076546210260624,-248.1285830794984
prm15_wcost_re2_c2p1_co2_cut90p_t1,45.37413875963381,10.183970999999923,prm15_wcost_re2_c2p1_t1,36.447346972429216,323.42254907924064,Region Wide,Single Axis,8.926791787204593,-313.2385780792407
prm15_wcost_re3_c2p1_co2_cut90p_t1,48.406521648993454,10.18397099999999,prm15_wcost_re3_c2p1_t1,36.925750140675525,363.63668395735607,Region Wide,Single Axis,11.480771508317929,-353.4527129573561
prm15_wcost_re4_c2p1_co2_cut90p_t1,46.22043150464179,10.183970999999945,prm15_wcost_re4_c2p1_t1,36.60830871115756,328.36172459936006,Region Wide,Single Axis,9.612122793484225,-318.17775359936013
prm15_wcost_re5_c2p1_co2_cut90p_t1,44.66555427974789,10.183970999999914,prm15_wcost_re5_c2p1_t1,36.32388542000987,323.7997672053944,Region Wide,Single Axis,8.341668859738014,-313.6157962053945
prm15_wcost_re6_c2p1_co2_cut90p_t1,42.71269801273825,10.18397099999993,prm15_wcost_re6_c2p1_t1,36.00330881765547,288.46449373959433,Region Wide,Single Axis,6.709389195082778,-278.2805227395944
prm15_wcost_re7_c2p1_co2_cut90p_t1,44.218321434047965,10.18397099999996,prm15_wcost_re7_c2p1_t1,36.24130119187632,315.6756011888108,Region Wide,Single Axis,7.977020242171648,-305.4916301888108
prm15_wcost_re8_c2p1_co2_cut90p_t1,47.56337777964705,10.183970999999987,prm15_wcost_re8_c2p1_t1,36.79245930106667,345.3889836562808,Region Wide,Single Axis,10.770918478580377,-335.2050126562808
prm15_wcost_re9_c2p1_co2_cut90p_t1,47.58020232186429,10.183970999999984,prm15_wcost_re9_c2p1_t1,36.84502458402959,347.259685994756,Region Wide,Single Axis,10.735177737834704,-337.075714994756
prm15_wcost_re10_c2p1_co2_cut90p_t1,41.47326450089248,10.18397099999992,prm15_wcost_re10_c2p1_t1,35.67654242067189,243.80240888649735,Region Wide,Single Axis,5.79672208022059,-233.61843788649742
prm15_wcost_re11_c2p1_co2_cut90p_t1,43.78408097660768,10.183970999999952,prm15_wcost_re11_c2p1_t1,36.54126341744677,332.5419676695961,Region Wide,Fixed,7.242817559160912,-322.35799666959616
prm15_wcost_re12_c2p1_co2_cut90p_t1,47.89837474537223,10.183970999999923,prm15_wcost_re12_c2p1_t1,37.54650742809729,368.5405912489497,Region Wide,Fixed,10.351867317274937,-358.35662024894975
prm15_wcost_re13_c2p1_co2_cut90p_t1,51.29026053780642,10.183971,prm15_wcost_re13_c2p1_t1,38.26555760806834,405.80097191238576,Region Wide,Fixed,13.024702929738076,-395.6170009123858
prm15_wcost_re14_c2p1_co2_cut90p_t1,48.83036386654236,10.183970999999936,prm15_wcost_re14_c2p1_t1,37.8191350424155,367.37777155999305,Region Wide,Fixed,11.01122882412686,-357.1938005599931
prm15_wcost_re15_c2p1_co2_cut90p_t1,47.13644144406572,10.183970999999966,prm15_wcost_re15_c2p1_t1,37.37318133695892,358.9367835678187,Region Wide,Fixed,9.763260107106795,-348.7528125678187
prm15_wcost_re16_c2p1_co2_cut90p_t1,44.80931820724755,10.183971000000026,prm15_wcost_re16_c2p1_t1,36.85896493953428,328.4442494736239,Region Wide,Fixed,7.950353267713268,-318.2602784736239
prm15_wcost_re17_c2p1_co2_cut90p_t1,46.65399472244781,10.183971,prm15_wcost_re17_c2p1_t1,37.2367656042184,342.8485134019922,Region Wide,Fixed,9.417229118229415,-332.6645424019922
prm15_wcost_re18_c2p1_co2_cut90p_t1,50.317268868252725,10.183970999999955,prm15_wcost_re18_c2p1_t1,38.08115728472691,394.15396668796336,Region Wide,Fixed,12.236111583525812,-383.96999568796343
prm15_wcost_re19_c2p1_co2_cut90p_t1,50.35541986716156,10.18397099999995,prm15_wcost_re19_c2p1_t1,38.17729153593488,398.0316614219863,Region Wide,Fixed,12.17812833122668,-387.8476904219864
prm15_wcost_re20_c2p1_co2_cut90p_t1,43.24753549735303,10.183970999999987,prm15_wcost_re20_c2p1_t1,36.40000110382787,309.39381015192987,Region Wide,Fixed,6.847534393525159,-299.2098391519299
prm15_wcost_re1_c2p1_co2_cut90p_t1,44.55762865635129,3.2147291238358995,prm15_wcost_re1_c2p1_t1,36.34637564652239,106.21996004736874,Argentina,Single Axis,8.211253009828901,-103.00523092353285
prm15_wcost_re1_c2p1_co2_cut90p_t1,38.87113494223287,3.704814436119823,prm15_wcost_re1_c2p1_t1,35.27496124317383,93.65509496095748,Brazil,Single Axis,3.596173699059044,-89.95028052483767
prm15_wcost_re1_c2p1_co2_cut90p_t1,67.2483743138598,3.062787572241598,prm15_wcost_re1_c2p1_t1,42.288582938948814,55.30452166499029,Chile,Single Axis,24.959791374910985,-52.24173409274869
prm15_wcost_re1_c2p1_co2_cut90p_t1,25.70041634189793,0.2016398678026806,prm15_wcost_re1_c2p1_t1,23.63002653891438,3.0766540759261445,Paraguay,Single Axis,2.070389802983552,-2.875014208123464
prm15_wcost_re1_c2p1_co2_cut90p_t1,50.82131412669792,0.0,prm15_wcost_re1_c2p1_t1,48.95136748694605,0.0563233302557163,Uruguay,Single Axis,1.8699466397518734,-0.0563233302557163
prm15_wcost_re2_c2p1_co2_cut90p_t1,26.62949940876313,0.2030360426524727,prm15_wcost_re2_c2p1_t1,38.984305672175566,124.97805251586676,Paraguay,Single Axis,-12.354806263412435,-124.7750164732143
prm15_wcost_re2_c2p1_co2_cut90p_t1,62.37037646711912,2.4779320313988813,prm15_wcost_re2_c2p1_t1,35.44584016215625,138.97938819770843,Chile,Single Axis,26.92453630496287,-136.50145616630954
prm15_wcost_re2_c2p1_co2_cut90p_t1,54.3493570568513,0.0147485218908992,prm15_wcost_re2_c2p1_t1,42.32169012283912,55.30452166499028,Uruguay,Single Axis,12.027666934012174,-55.28977314309938
prm15_wcost_re2_c2p1_co2_cut90p_t1,50.83359037405865,0.5779696679857023,prm15_wcost_re2_c2p1_t1,24.270355356426336,3.863021745770692,Argentina,Single Axis,26.563235017632316,-3.28505207778499
prm15_wcost_re2_c2p1_co2_cut90p_t1,42.84917747702271,6.910284736071968,prm15_wcost_re2_c2p1_t1,51.68723714818852,0.2975649549045054,Brazil,Single Axis,-8.838059671165816,6.6127197811674625
prm15_wcost_re3_c2p1_co2_cut90p_t1,47.76202432350246,4.539400705174992,prm15_wcost_re3_c2p1_t1,41.55256479150706,0.837964173096036,Brazil,Single Axis,6.2094595319954,3.7014365320789557
prm15_wcost_re3_c2p1_co2_cut90p_t1,74.16340759517824,2.0675632266943884,prm15_wcost_re3_c2p1_t1,24.270355356426336,3.863021745770692,Chile,Single Axis,49.893052238751906,-1.7954585190763037
prm15_wcost_re3_c2p1_co2_cut90p_t1,27.532577881102817,0.2270961569829192,prm15_wcost_re3_c2p1_t1,40.276777006470034,124.84518997691916,Paraguay,Single Axis,-12.744199125367217,-124.61809381993623
prm15_wcost_re3_c2p1_co2_cut90p_t1,45.77242970475286,0.0219610523202986,prm15_wcost_re3_c2p1_t1,37.16624797244872,178.78598639657991,Uruguay,Single Axis,8.606181732304137,-178.7640253442596
prm15_wcost_re3_c2p1_co2_cut90p_t1,44.15987990208576,3.327949858827393,prm15_wcost_re3_c2p1_t1,33.41925309210801,55.30452166499028,Argentina,Single Axis,10.740626809977755,-51.97657180616289
prm15_wcost_re4_c2p1_co2_cut90p_t1,53.084947366437554,0.5304993208513453,prm15_wcost_re4_c2p1_t1,34.64162967949555,124.83823319531882,Argentina,Single Axis,18.443317686942002,-124.30773387446747
prm15_wcost_re4_c2p1_co2_cut90p_t1,42.25996274001882,7.347179256321008,prm15_wcost_re4_c2p1_t1,36.82110389608183,143.96308154404718,Brazil,Single Axis,5.438858843936991,-136.6159022877262
prm15_wcost_re4_c2p1_co2_cut90p_t1,72.28132010998817,2.07636349874734,prm15_wcost_re4_c2p1_t1,42.32337265060627,55.30452166499029,Chile,Single Axis,29.957947459381906,-53.22815816624295
prm15_wcost_re4_c2p1_co2_cut90p_t1,26.89531611364673,0.2133531669090433,prm15_wcost_re4_c2p1_t1,24.270355356426336,3.8630217457706912,Paraguay,Single Axis,2.624960757220393,-3.649668578861648
prm15_wcost_re4_c2p1_co2_cut90p_t1,55.50636039038729,0.0165757571712072,prm15_wcost_re4_c2p1_t1,50.96019760276871,0.3928664492330945,Uruguay,Single Axis,4.546162787618584,-0.3762906920618873
prm15_wcost_re5_c2p1_co2_cut90p_t1,26.415617774829546,0.2104375958125001,prm15_wcost_re5_c2p1_t1,51.10689779892751,0.256168422104623,Paraguay,Single Axis,-24.691280024097967,-0.045730826292122884
prm15_wcost_re5_c2p1_co2_cut90p_t1,53.67142379438249,0.0146260170265177,prm15_wcost_re5_c2p1_t1,34.12794314965976,55.3045216649903,Uruguay,Single Axis,19.543480644722734,-55.28989564796378
prm15_wcost_re5_c2p1_co2_cut90p_t1,64.5797549011718,2.767660937289405,prm15_wcost_re5_c2p1_t1,24.25604307549485,3.856974877253847,Chile,Single Axis,40.323711825676945,-1.089313939964442
prm15_wcost_re5_c2p1_co2_cut90p_t1,49.20488562980397,0.8918150557839076,prm15_wcost_re5_c2p1_t1,42.30584776894397,125.65320546058184,Argentina,Single Axis,6.899037860859998,-124.76139040479794
prm15_wcost_re5_c2p1_co2_cut90p_t1,41.99105492246252,6.299431394087584,prm15_wcost_re5_c2p1_t1,35.4202113539169,138.72889678046383,Brazil,Single Axis,6.5708435685456195,-132.42946538637625
prm15_wcost_re6_c2p1_co2_cut90p_t1,45.73094794562674,2.4817433041737043,prm15_wcost_re6_c2p1_t1,41.84864540613656,118.4439581999385,Argentina,Single Axis,3.8823025394901762,-115.9622148957648
prm15_wcost_re6_c2p1_co2_cut90p_t1,39.83766495868099,4.479277645814808,prm15_wcost_re6_c2p1_t1,34.417231121657,111.57565054331003,Brazil,Single Axis,5.420433837023992,-107.09637289749523
prm15_wcost_re6_c2p1_co2_cut90p_t1,66.9621543424278,3.0234786307492967,prm15_wcost_re6_c2p1_t1,40.10750919024383,55.30452166499029,Chile,Single Axis,26.854645152183963,-52.281043034240994
prm15_wcost_re6_c2p1_co2_cut90p_t1,25.706182654984232,0.1923668264670152,prm15_wcost_re6_c2p1_t1,23.640904892085462,3.0338348661498924,Paraguay,Single Axis,2.06527776289877,-2.8414680396828773
prm15_wcost_re6_c2p1_co2_cut90p_t1,51.23243739301535,0.007104592795106,prm15_wcost_re6_c2p1_t1,49.675704431527,0.1065284652056228,Uruguay,Single Axis,1.5567329614883505,-0.0994238724105168
prm15_wcost_re7_c2p1_co2_cut90p_t1,26.24283004847822,0.2084312239631033,prm15_wcost_re7_c2p1_t1,50.69154528803789,0.2571668464903898,Paraguay,Single Axis,-24.448715239559668,-0.0487356225272865
prm15_wcost_re7_c2p1_co2_cut90p_t1,68.51911147793001,3.1154847717034926,prm15_wcost_re7_c2p1_t1,42.316038223344,55.3045216649903,Chile,Single Axis,26.20307325458601,-52.189036893286804
prm15_wcost_re7_c2p1_co2_cut90p_t1,54.35437269723039,0.0034181391770174,prm15_wcost_re7_c2p1_t1,24.17768396596035,3.777218309112073,Uruguay,Single Axis,30.176688731270037,-3.7738001699350554
prm15_wcost_re7_c2p1_co2_cut90p_t1,47.85472149796484,1.053961459877121,prm15_wcost_re7_c2p1_t1,39.87733337445173,125.99701519522134,Argentina,Single Axis,7.9773881235131086,-124.94305373534422
prm15_wcost_re7_c2p1_co2_cut90p_t1,41.19613478324412,5.802675405279225,prm15_wcost_re7_c2p1_t1,34.94582157084217,130.33967917299665,Brazil,Single Axis,6.250313212401949,-124.53700376771742
prm15_wcost_re8_c2p1_co2_cut90p_t1,50.80061606635833,2.6379716096064207,prm15_wcost_re8_c2p1_t1,35.60597471558689,124.84928647636576,Argentina,Single Axis,15.194641350771441,-122.21131486675934
prm15_wcost_re8_c2p1_co2_cut90p_t1,44.56577038343008,5.185304644622556,prm15_wcost_re8_c2p1_t1,36.77802349889692,160.74635135182916,Brazil,Single Axis,7.787746884533156,-155.5610467072066
prm15_wcost_re8_c2p1_co2_cut90p_t1,73.72431101935813,2.1137812848150355,prm15_wcost_re8_c2p1_t1,42.333477928942266,55.30452166499029,Chile,Single Axis,31.39083309041586,-53.19074038017526
prm15_wcost_re8_c2p1_co2_cut90p_t1,27.39810440757151,0.2240664992009065,prm15_wcost_re8_c2p1_t1,24.27035535642634,3.8630217457706912,Paraguay,Single Axis,3.1277490511451695,-3.6389552465697848
prm15_wcost_re8_c2p1_co2_cut90p_t1,57.35475101883778,0.0228469617550713,prm15_wcost_re8_c2p1_t1,53.3644679736312,0.6258024173248861,Uruguay,Single Axis,3.9902830452065814,-0.6029554555698148
prm15_wcost_re9_c2p1_co2_cut90p_t1,49.94030129603028,2.4669839436678145,prm15_wcost_re9_c2p1_t1,24.27035535642634,3.863021745770692,Argentina,Single Axis,25.669945939603938,-1.3960378021028776
prm15_wcost_re9_c2p1_co2_cut90p_t1,44.81739063532881,5.442221968070694,prm15_wcost_re9_c2p1_t1,35.60524738405475,124.83436936588704,Brazil,Single Axis,9.212143251274064,-119.39214739781634
prm15_wcost_re9_c2p1_co2_cut90p_t1,73.78561210627575,2.045820136031914,prm15_wcost_re9_c2p1_t1,36.86125219131756,162.56264007472254,Chile,Single Axis,36.92435991495819,-160.51681993869062
prm15_wcost_re9_c2p1_co2_cut90p_t1,27.18878035124429,0.2115946905991301,prm15_wcost_re9_c2p1_t1,42.33347792894228,55.30452166499028,Paraguay,Single Axis,-15.14469757769799,-55.092926974391155
prm15_wcost_re9_c2p1_co2_cut90p_t1,57.38182793627397,0.0173502616304305,prm15_wcost_re9_c2p1_t1,53.145292834029775,0.6951331433854017,Uruguay,Single Axis,4.236535102244197,-0.6777828817549711
prm15_wcost_re10_c2p1_co2_cut90p_t1,49.710313933240464,0.0007012409449276,prm15_wcost_re10_c2p1_t1,48.34189509360422,0.0535200604139266,Uruguay,Single Axis,1.3684188396362416,-0.052818819468999
prm15_wcost_re10_c2p1_co2_cut90p_t1,66.14520779525672,3.1137221169730696,prm15_wcost_re10_c2p1_t1,42.28788973144451,55.30501971962735,Chile,Single Axis,23.857318063812215,-52.19129760265428
prm15_wcost_re10_c2p1_co2_cut90p_t1,25.004633005704697,0.2233578641950943,prm15_wcost_re10_c2p1_t1,23.44860566095282,3.1402089550365533,Paraguay,Single Axis,1.5560273447518789,-2.916851090841459
prm15_wcost_re10_c2p1_co2_cut90p_t1,43.32494196345618,3.547762102708343,prm15_wcost_re10_c2p1_t1,35.094456129453306,87.82109034552357,Argentina,Single Axis,8.230485834002877,-84.27332824281523
prm15_wcost_re10_c2p1_co2_cut90p_t1,38.82111848394858,3.298427675178486,prm15_wcost_re10_c2p1_t1,36.51670998244363,97.48256980589598,Brazil,Single Axis,2.304408501504952,-94.18414213071749
prm15_wcost_re11_c2p1_co2_cut90p_t1,43.96035687767992,3.2856574756611368,prm15_wcost_re11_c2p1_t1,34.826492836635765,115.7486480787378,Argentina,Fixed,9.133864041044156,-112.46299060307666
prm15_wcost_re11_c2p1_co2_cut90p_t1,41.11062175205832,3.893596936556517,prm15_wcost_re11_c2p1_t1,36.62595338677885,146.00682422092478,Brazil,Fixed,4.484668365279468,-142.11322728436826
prm15_wcost_re11_c2p1_co2_cut90p_t1,72.27241562955756,2.5416545523705136,prm15_wcost_re11_c2p1_t1,42.85820250555946,67.28760552506563,Chile,Fixed,29.414213123998096,-64.74595097269511
prm15_wcost_re11_c2p1_co2_cut90p_t1,26.47717368955535,0.4630620354117864,prm15_wcost_re11_c2p1_t1,24.450982455090067,3.4690919161772427,Paraguay,Fixed,2.0261912344652835,-3.0060298807654564
prm15_wcost_re11_c2p1_co2_cut90p_t1,53.62381834199501,0.0,prm15_wcost_re11_c2p1_t1,49.92499281023354,0.0297979286906125,Uruguay,Fixed,3.6988255317614716,-0.0297979286906125
prm15_wcost_re12_c2p1_co2_cut90p_t1,28.278741266961685,0.4233000974387924,prm15_wcost_re12_c2p1_t1,40.23598715829074,121.43178170589316,Paraguay,Fixed,-11.957245891329055,-121.00848160845436
prm15_wcost_re12_c2p1_co2_cut90p_t1,77.86406499292274,1.82828236879803,prm15_wcost_re12_c2p1_t1,37.761845068617504,173.18392842555804,Chile,Fixed,40.10221992430523,-171.35564605676
prm15_wcost_re12_c2p1_co2_cut90p_t1,58.08754266968409,0.0,prm15_wcost_re12_c2p1_t1,35.92341327383836,67.28756678527213,Uruguay,Fixed,22.164129395845734,-67.28756678527213
prm15_wcost_re12_c2p1_co2_cut90p_t1,50.11179885344527,1.9780644441794908,prm15_wcost_re12_c2p1_t1,24.79896553795583,6.508856626661762,Argentina,Fixed,25.312833315489442,-4.530792182482271
prm15_wcost_re12_c2p1_co2_cut90p_t1,44.657222343737466,5.95432408958361,prm15_wcost_re12_c2p1_t1,41.14211876571851,0.1284577055646036,Brazil,Fixed,3.515103578018959,5.825866384019006
prm15_wcost_re13_c2p1_co2_cut90p_t1,53.33266353341912,3.316640459693656,prm15_wcost_re13_c2p1_t1,56.48762314095624,0.530935812188637,Argentina,Fixed,-3.1549596075371156,2.7857046475050193
prm15_wcost_re13_c2p1_co2_cut90p_t1,49.238965855753776,4.561065247939378,prm15_wcost_re13_c2p1_t1,24.799123958841307,6.709166874598708,Brazil,Fixed,24.43984189691247,-2.1481016266593302
prm15_wcost_re13_c2p1_co2_cut90p_t1,72.33014262582921,1.955851481623943,prm15_wcost_re13_c2p1_t1,37.03641898402984,131.4570558210727,Chile,Fixed,35.293723641799374,-129.50120433944875
prm15_wcost_re13_c2p1_co2_cut90p_t1,30.00302759968981,0.3504138107430232,prm15_wcost_re13_c2p1_t1,39.29537719718073,199.81594173632024,Paraguay,Fixed,-9.292349597490919,-199.46552792557722
prm15_wcost_re13_c2p1_co2_cut90p_t1,63.16292991647526,0.0,prm15_wcost_re13_c2p1_t1,35.43705074630299,67.28787166820547,Uruguay,Fixed,27.72587917017227,-67.28787166820547
prm15_wcost_re14_c2p1_co2_cut90p_t1,50.36029811463652,2.029284069773494,prm15_wcost_re14_c2p1_t1,39.89423884999478,121.6583556414315,Argentina,Fixed,10.466059264641743,-119.629071571658
prm15_wcost_re14_c2p1_co2_cut90p_t1,46.926762007516565,5.917183744139674,prm15_wcost_re14_c2p1_t1,38.098529273337725,171.41220459483895,Brazil,Fixed,8.82823273417884,-165.4950208506993
prm15_wcost_re14_c2p1_co2_cut90p_t1,72.1331172644795,1.8430287065053013,prm15_wcost_re14_c2p1_t1,36.87149990312714,67.28756678527213,Chile,Fixed,35.26161736135236,-65.44453807876683
prm15_wcost_re14_c2p1_co2_cut90p_t1,28.997369519215564,0.3944744795814661,prm15_wcost_re14_c2p1_t1,24.79868539648585,6.709155452338707,Paraguay,Fixed,4.198684122729713,-6.314680972757241
prm15_wcost_re14_c2p1_co2_cut90p_t1,46.27470478457158,0.0,prm15_wcost_re14_c2p1_t1,42.52824288907404,0.3104890861117269,Uruguay,Fixed,3.7464618954975393,-0.3104890861117269
prm15_wcost_re15_c2p1_co2_cut90p_t1,57.84177628751692,0.0,prm15_wcost_re15_c2p1_t1,24.796369974720047,6.465433776623953,Uruguay,Fixed,33.04540631279687,-6.465433776623953
prm15_wcost_re15_c2p1_co2_cut90p_t1,77.28246773219298,1.8400982089201685,prm15_wcost_re15_c2p1_t1,39.976035176538325,0.1108385012839916,Chile,Fixed,37.30643255565466,1.7292597076361769
prm15_wcost_re15_c2p1_co2_cut90p_t1,28.15177043761366,0.4238460322149184,prm15_wcost_re15_c2p1_t1,35.638768134531944,67.28758572956563,Paraguay,Fixed,-7.486997696918284,-66.86373969735071
prm15_wcost_re15_c2p1_co2_cut90p_t1,51.40375984035269,1.857582868033081,prm15_wcost_re15_c2p1_t1,37.51555588677039,163.75816974515894,Argentina,Fixed,13.888203953582298,-161.90058687712585
prm15_wcost_re15_c2p1_co2_cut90p_t1,43.28992126032435,6.062443890831798,prm15_wcost_re15_c2p1_t1,40.45831544521904,121.31475581518616,Brazil,Fixed,2.8316058151053056,-115.25231192435436
prm15_wcost_re16_c2p1_co2_cut90p_t1,44.37586119397045,3.149362552896496,prm15_wcost_re16_c2p1_t1,42.3413301268577,115.32178137491144,Argentina,Fixed,2.034531067112752,-112.17241882201495
prm15_wcost_re16_c2p1_co2_cut90p_t1,42.15612218684997,4.600364580948101,prm15_wcost_re16_c2p1_t1,36.37684455348182,142.27130756261843,Brazil,Fixed,5.779277633368153,-137.67094298167032
prm15_wcost_re16_c2p1_co2_cut90p_t1,74.67694161454752,1.9955134597974136,prm15_wcost_re16_c2p1_t1,35.31468300107129,67.28760552506563,Chile,Fixed,39.36225861347623,-65.29209206526822
prm15_wcost_re16_c2p1_co2_cut90p_t1,27.03715302970192,0.4387304063580145,prm15_wcost_re16_c2p1_t1,24.660112428891328,3.514832526055544,Paraguay,Fixed,2.3770406008105915,-3.07610211969753
prm15_wcost_re16_c2p1_co2_cut90p_t1,54.60217178752187,0.0,prm15_wcost_re16_c2p1_t1,37.929682361366666,0.0487224849728804,Uruguay,Fixed,16.672489426155202,-0.0487224849728804
prm15_wcost_re17_c2p1_co2_cut90p_t1,44.99189732351982,2.540497598370992,prm15_wcost_re17_c2p1_t1,24.79165411292103,6.4628513580936815,Argentina,Fixed,20.200243210598792,-3.9223537597226894
prm15_wcost_re17_c2p1_co2_cut90p_t1,44.28616910304629,5.380848993415817,prm15_wcost_re17_c2p1_t1,35.09068096639473,67.28758572956563,Brazil,Fixed,9.195488136651562,-61.90673673614982
prm15_wcost_re17_c2p1_co2_cut90p_t1,77.12742830621853,1.8352021730879384,prm15_wcost_re17_c2p1_t1,39.60379664463262,0.1001242975379569,Chile,Fixed,37.52363166158592,1.7350778755499816
prm15_wcost_re17_c2p1_co2_cut90p_t1,27.94132788753192,0.4274222351252528,prm15_wcost_re17_c2p1_t1,41.91569651721979,121.28170575901746,Paraguay,Fixed,-13.974368629687874,-120.8542835238922
prm15_wcost_re17_c2p1_co2_cut90p_t1,57.09984638396194,0.0,prm15_wcost_re17_c2p1_t1,37.01615333226282,147.71624625777747,Uruguay,Fixed,20.08369305169912,-147.71624625777747
prm15_wcost_re18_c2p1_co2_cut90p_t1,58.8858840306711,0.0023004680730012,prm15_wcost_re18_c2p1_t1,38.2950347528459,130.02231340840277,Uruguay,Fixed,20.5908492778252,-130.02001294032976
prm15_wcost_re18_c2p1_co2_cut90p_t1,29.70188400298653,0.3710265164655174,prm15_wcost_re18_c2p1_t1,39.09114992840495,189.70426930094507,Paraguay,Fixed,-9.389265925418421,-189.33324278447955
prm15_wcost_re18_c2p1_co2_cut90p_t1,49.49073423671064,4.355547293697006,prm15_wcost_re18_c2p1_t1,35.090756079353774,67.28787166820547,Brazil,Fixed,14.399978157356863,-62.93232437450846
prm15_wcost_re18_c2p1_co2_cut90p_t1,43.90041280938119,3.445676463195389,prm15_wcost_re18_c2p1_t1,24.798696342379014,6.709166874598708,Argentina,Fixed,19.101716467002174,-3.263490411403319
prm15_wcost_re18_c2p1_co2_cut90p_t1,79.5967147062987,2.009420258569043,prm15_wcost_re18_c2p1_t1,43.3241997243698,0.4303454358113737,Chile,Fixed,36.2725149819289,1.5790748227576694
prm15_wcost_re19_c2p1_co2_cut90p_t1,50.52157651809757,2.9410611397083946,prm15_wcost_re19_c2p1_t1,24.798696342379014,6.709166874598709,Argentina,Fixed,25.722880175718554,-3.768105734890314
prm15_wcost_re19_c2p1_co2_cut90p_t1,49.10523519306092,4.99839702769744,prm15_wcost_re19_c2p1_t1,38.01467305457463,129.48434613333632,Brazil,Fixed,11.090562138486291,-124.48594910563888
prm15_wcost_re19_c2p1_co2_cut90p_t1,71.62817830219454,1.867500854657669,prm15_wcost_re19_c2p1_t1,39.20425758390705,194.1105765244445,Chile,Fixed,32.42392071828749,-192.24307566978683
prm15_wcost_re19_c2p1_co2_cut90p_t1,29.382067595736142,0.3770119779364458,prm15_wcost_re19_c2p1_t1,36.09959948166021,67.28787166820547,Paraguay,Fixed,-6.717531885924071,-66.91085969026902
prm15_wcost_re19_c2p1_co2_cut90p_t1,48.44546153716252,0.0,prm15_wcost_re19_c2p1_t1,42.48723017191149,0.4397002214013271,Uruguay,Fixed,5.958231365251031,-0.4397002214013271
prm15_wcost_re20_c2p1_co2_cut90p_t1,25.63701735364401,0.5399236378888143,prm15_wcost_re20_c2p1_t1,24.27152335146396,3.472594982422213,Paraguay,Fixed,1.36549400218005,-2.9326713445333987
prm15_wcost_re20_c2p1_co2_cut90p_t1,46.50304371080965,3.3342730826781164,prm15_wcost_re20_c2p1_t1,35.87000802869372,67.28762446935913,Argentina,Fixed,10.633035682115931,-63.953351386681014
prm15_wcost_re20_c2p1_co2_cut90p_t1,39.98018521612157,3.4198653258779754,prm15_wcost_re20_c2p1_t1,36.39511578659479,0.0146487375817981,Brazil,Fixed,3.5850694295267758,3.4052165882961773
prm15_wcost_re20_c2p1_co2_cut90p_t1,70.31055598375733,2.8899089535550813,prm15_wcost_re20_c2p1_t1,41.40534898560691,104.24677029148172,Chile,Fixed,28.905206998150412,-101.35686133792665
prm15_wcost_re20_c2p1_co2_cut90p_t1,52.80080644942932,0.0,prm15_wcost_re20_c2p1_t1,35.941665834793305,134.372171671085,Uruguay,Fixed,16.85914061463601,-134.372171671085
